             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.398           0.0391             7.55           0.0169              6.7             2.84             1.62
               1           0.259           0.0149             6.64           0.0532             5.78             1.46             1.26
               2           0.245            0.026             6.58           0.0658             5.91             1.34             1.31
               3           -6.33           0.0107             6.23           0.0849             6.48             1.46             1.54
               4          0.0805           0.0149             6.27           0.0704             5.94             1.35             1.32
               5            0.18          0.00815             6.08           0.0556             5.97             1.28             1.34
               6           0.192           0.0118             6.29           0.0467             6.05             1.14             1.36
               7            0.28          0.00704             6.17           0.0233             5.67             1.48             1.22
               8           0.245           0.0167             6.33          0.00621             7.61             2.45             1.96
               9           0.238          0.00817             6.31           0.0804             6.09             1.11             1.38
              10           0.206           0.0346             6.84           0.0429             6.87             1.53             1.69
              11           0.133          0.00863             6.13            0.102             5.86             1.34             1.29
              12            0.13           0.0172             6.19            0.042             5.98             1.33             1.33
              13           0.176           0.0169             6.16           0.0688             5.98             1.43             1.34
              14           0.142           0.0156             6.45           0.0513             7.79             1.84             2.05
              15           0.129           0.0274             6.88           0.0485             5.92             1.23             1.31
              16           0.126           0.0169             6.57           0.0386             7.04             1.52             1.74
              17          0.0859          0.00806             6.44           0.0697             6.68             1.74             1.61
              18          0.0619          0.00935             6.48            0.085              6.6             1.54             1.59
              19          0.0988           0.0255             6.64           0.0402             5.94             1.08             1.32
              20           0.158           0.0185             5.85           0.0591             5.74             1.13             1.25
              21           0.272           0.0187             5.97           0.0468              5.9             1.27              1.3
              22           0.107           0.0299             5.94           0.0476             6.63             1.84              1.6
              23           0.144           0.0362             5.99           0.0335             5.99             1.22             1.34
              24           0.194           0.0214             6.99            0.037             6.03             1.22             1.36
              25           0.239           0.0233                6           0.0224              7.5             1.66             1.95
              26           0.145           0.0328             6.85           0.0323             8.68             5.99             2.43
              27           0.153           0.0558             7.13           0.0587             5.72             1.37             1.24
              28           0.149           0.0285             5.75             0.11             5.74             1.23             1.24
              29           0.125           0.0177             5.84           0.0677             5.67             1.23             1.22
