             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.192           0.0477             6.86          0.00214             6.64             1.02             1.23
               1           0.124           0.0242             6.66           0.0326             6.79             1.18             1.28
               2            0.15           0.0264              6.7           0.0193             6.55                1              1.2
               3           0.203           0.0957             6.96           0.0383             6.61             1.05             1.22
               4           0.138           0.0215             6.59           0.0122             7.19             1.61             1.42
               5           0.106           0.0166             6.65           0.0664             6.73              1.1             1.26
               6           0.218           0.0123             6.64          -0.0172             6.34            0.906             1.13
               7           0.137           0.0328             6.65            0.076             6.51             1.06             1.18
               8           0.143            0.019             6.59           0.0198             6.58            0.843             1.21
               9           0.193            0.028             6.58           0.0755             6.57              0.8             1.21
              10           0.217           0.0143             6.54          -0.0141             6.41            0.889             1.15
              11           0.164           0.0226             6.57            0.031             6.47            0.951             1.17
              12           0.143           0.0245             6.61           0.0221             6.52            0.951             1.19
              13           0.122           0.0328             6.49            0.034             6.49             0.88             1.18
              14           0.123           0.0319             6.57         -0.00643             6.45            0.992             1.17
              15            0.12           0.0465             6.58           0.0733             6.44            0.923             1.16
              16           0.104           0.0264             6.57          0.00706             6.43            0.845             1.16
              17           0.129           0.0293             6.57           0.0366             6.44            0.963             1.16
              18          0.0636            0.022             6.53           0.0546             6.51            0.933             1.18
              19          0.0839            0.136             6.88           0.0181             6.38            0.801             1.14
              20           0.134           0.0364             6.45           0.0366             6.33             1.03             1.12
              21           0.115           0.0422             6.46           0.0235             6.59              1.1             1.21
              22           0.143           0.0479             6.53           0.0177              6.5            0.852             1.18
              23           0.104           0.0752             6.61           0.0383             6.33            0.844             1.13
              24           0.114           0.0413             6.41          0.00054             6.32            0.825             1.12
              25          0.0498           0.0803              6.5           0.0464             6.29            0.887             1.11
              26          0.0959           0.0871             6.34            0.014             6.49            0.843             1.18
              27          0.0709            0.073             6.49           0.0494             6.45            0.926             1.17
              28          0.0571           0.0543             6.37            0.029             6.34            0.798             1.13
              29           0.113            0.077             6.55           0.0463             8.55             1.64             1.88
