             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0         -0.0412         9.65e-07             39.6           0.0783                0                0                0
               1         -0.0169         4.35e-08             39.9           0.0415                0                0                0
               2          -0.188         1.74e-17             40.3           0.0448                0                0                0
               3          0.0178          0.00221             40.9           0.0317                0                0                0
