             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0            0.24            0.575             11.9           0.0102             12.5                0             1.39
               1          -0.214           0.0157             11.8           0.0222               12             1.21             1.28
               2          -0.231         0.000908             11.8           0.0156             11.9            0.928             1.26
               3          -0.232          0.00146             11.8            0.014             11.9            0.939             1.27
               4          -0.217          0.00123             11.7           0.0163               11             1.05             1.09
               5          -0.191          0.00165             11.4           0.0194             10.4              1.3            0.977
               6           -0.17          0.00396             11.3           0.0172             11.5            0.905             1.18
               7          -0.187          0.00347             11.4            0.011               12            0.984             1.29
               8         -0.0345             0.67             12.1          0.00408             12.5                0             1.39
               9       -2.79e-06                1             12.5         3.38e-06             12.5                0             1.39
              10          -0.145           0.0585             11.2            0.013               11            0.982             1.09
              11          -0.113          0.00724             10.4           0.0128             9.68              1.1            0.838
              12          -0.117          0.00907             9.41          0.00316             8.64             1.03            0.641
              13          -0.235          0.00143             9.37          0.00222             9.09              1.1            0.729
              14          -0.273           0.0047             9.79          0.00292             9.31             1.07            0.767
              15          -0.295          0.00338             10.3          0.00132             9.27             1.14            0.763
              16          -0.304         0.000928             10.4          0.00226             10.1             1.09             0.92
              17          -0.312         0.000826             10.6          0.00125             10.1            0.939            0.919
              18          -0.318         0.000552             10.7          0.00132             10.5            0.954            0.987
              19          -0.322          0.00063             10.8         0.000975             10.6            0.894             1.01
              20          -0.323         0.000536             10.9         0.000126             10.4            0.933            0.969
              21          -0.324         0.000536             10.9        -5.72e-05             10.3             1.03            0.954
              22          -0.326         0.000569               11         5.11e-05             10.5                1            0.994
              23          -0.325         0.000474               11          -0.0012             10.3            0.957            0.958
              24          -0.327           0.0005               11        -0.000907             10.7            0.984             1.03
