             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0          0.0715          0.00648             12.7           0.0678             12.7             1.34             1.68
               1           0.175          0.00032             12.7           0.0867               13             1.33             1.75
               2          0.0537         0.000313             12.6           0.0833             12.6             1.52             1.67
               3           0.116         0.000263             12.6           0.0626             12.9             1.48             1.72
               4           0.136         0.000102             12.5           0.0969             12.6             1.24             1.66
               5          0.0178         2.54e-05             13.4           0.0844             14.2             1.75             2.01
               6          0.0478         2.54e-06             13.9           0.0501             14.6             1.32             2.09
               7           0.143         6.66e-05             13.6           0.0532             12.5              1.3             1.65
               8           0.034         4.06e-06             13.7           0.0623             13.2             1.39             1.78
               9          0.0507         8.11e-07             13.6           0.0407             14.1              1.4             1.99
              10          0.0901         0.000143               13            0.101             13.9             1.42             1.95
              11          0.0317         9.72e-07             14.2            0.021             14.1             1.32             1.98
              12          0.0914          0.00013             13.3           0.0481             13.3             1.41             1.81
              13          0.0552         2.17e-06             13.2           0.0109             13.2             1.42              1.8
              14          0.0613         5.05e-06             13.2           0.0661             13.8             1.46             1.92
              15          -0.019          0.00201             14.5           0.0405             14.7             1.26             2.11
              16          0.0762            0.762             18.2           0.0249             18.9            0.304             3.01
              17          0.0232           0.0447             14.9             0.04             17.6              1.4             2.73
              18          0.0019           0.0233             15.3           0.0324             15.1             1.63             2.19
              19          0.0135          0.00698             13.6           0.0434               14             2.88             1.96
              20          0.0369         1.57e-05             13.2           0.0265               15             2.19             2.19
              21          -0.018         0.000255             14.4           0.0357             14.7             1.36              2.1
              22         0.00807          0.00301             14.8           0.0148             14.9             1.35             2.15
              23         -0.0148          0.00075             14.5           0.0264             14.7             1.22             2.11
              24          -0.122         0.000243             14.5             0.03             14.7             1.33              2.1
              25         -0.0219           0.0215             14.9            0.032             18.6             0.41             2.96
              26          0.0591           0.0284             15.2           0.0138             14.2             1.63             2.01
              27          0.0888           0.0014             12.7           0.0377             13.6             2.68             1.87
              28           0.125          3.2e-06             12.4          0.00493             12.4             1.51             1.63
              29          0.0278         0.000504             12.9           0.0326             12.6             1.29             1.65
              30          0.0603         4.36e-06             12.5           0.0228             12.8              1.4             1.71
              31          0.0357         4.87e-05             12.5           0.0441             13.1             1.76             1.77
              32         -0.0129         1.13e-05             13.9            0.024             14.9             1.45             2.16
              33         -0.0282         2.16e-06             14.5           0.0292               15              1.4             2.17
              34          -0.048         2.35e-06             14.6           0.0494             15.2             1.49             2.22
