             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.277         1.09e-05             93.4           0.0526                0                0                0
               1           0.137         2.38e-38             92.3           0.0193                0                0                0
               2           0.102         3.04e-36             91.3          -0.0191                0                0                0
               3           0.069         1.31e-36             91.7          -0.0506                0                0                0
               4          0.0576         3.06e-34             91.3            0.011                0                0                0
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0            14.5           0.0302             96.8            0.318                0                0                0
               1           0.623         3.68e-41             95.6          -0.0021                0                0                0
               2        -0.00669         5.53e-37             93.8           0.0499                0                0                0
               3         -0.0293         7.42e-35             92.6           0.0675                0                0                0
               4         -0.0404         5.94e-35             91.9           0.0319                0                0                0
               5          -0.326         8.87e-32             91.7           0.0398                0                0                0
               6         -0.0429         3.57e-34             90.2           0.0381                0                0                0
               7          -0.068         4.99e-37             90.8           0.0498                0                0                0
               8          -0.104         3.56e-35             88.5           0.0369                0                0                0
               9          -0.081         2.72e-28             88.5             0.04                0                0                0
              10         -0.0598         2.19e-33             88.8           0.0228                0                0                0
              11          -0.107         1.52e-38             89.4           0.0343                0                0                0
              12         -0.0703         2.81e-37               89           0.0365                0                0                0
              13         -0.0697         8.55e-34               88           0.0224                0                0                0
              14         -0.0658         2.44e-30             87.6           0.0215                0                0                0
              15          -0.102         1.04e-32             89.4           0.0254                0                0                0
              16         -0.0479         4.83e-35             88.6          0.00868                0                0                0
              17         -0.0784          1.1e-32             88.3           0.0306                0                0                0
              18         -0.0673         3.27e-33             87.9           0.0123                0                0                0
              19         -0.0551         2.72e-30               88         -0.00721                0                0                0
              20         -0.0703         1.19e-34             87.5         0.000655                0                0                0
              21         -0.0944         6.45e-29             88.2            0.025                0                0                0
              22         -0.0798         2.87e-35             88.1         -0.00693                0                0                0
              23         -0.0635         6.09e-35             87.3          0.00975                0                0                0
              24         -0.0821         5.74e-34             88.1          0.00201                0                0                0
              25         -0.0879         1.53e-33             87.1           0.0198                0                0                0
              26         -0.0644         7.13e-31             89.1         -0.00425                0                0                0
              27         -0.0599         2.37e-30             89.7         -0.00945                0                0                0
              28         -0.0973         2.34e-33             88.1          0.00732                0                0                0
              29          -0.098         3.03e-31               88           0.0151                0                0                0
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
