             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.363           0.0233               14           0.0796               13             1.33             1.74
               1           0.121         0.000458             12.5            0.124             12.8             1.39              1.7
               2          0.0617          0.00652             12.5           0.0868             12.4             1.28             1.62
               3          0.0808         0.000553             12.6           0.0829             12.4             1.51             1.62
               4           0.112          0.00292             12.7           0.0615             12.5             1.23             1.65
               5          0.0587         9.43e-05             12.7           0.0854             13.3             1.29             1.82
               6          0.0145          0.00166               13           0.0566             12.5              1.3             1.64
               7         -0.0842          0.00406             12.9           0.0964               13              1.5             1.74
               8          0.0416           0.0032             13.6            0.044             14.1             1.44             1.98
               9        -0.00887           0.0295             13.4           0.0356             13.2             1.39             1.79
              10          0.0996         9.75e-06             12.9           0.0434             12.7             1.35             1.69
              11           0.107         1.81e-07             12.7           0.0673             12.6             1.32             1.66
              12           0.141         2.65e-07             12.5           0.0204             12.4              1.3             1.62
              13          0.0733         1.49e-06             12.8           0.0648               13             1.48             1.74
              14          0.0921         0.000547             12.5            0.047             12.8             1.37              1.7
              15         0.00313          0.00222             12.7           0.0237             13.3             1.32              1.8
              16        -0.00843         4.05e-07               14           0.0358             14.3             1.42             2.02
              17          -0.178         5.13e-05             14.3            0.073             14.7              1.3             2.11
              18         -0.0328         2.95e-06             14.3        -0.000508             14.6             1.24             2.08
              19          -0.076         1.48e-06             14.4           0.0345             15.3             2.46             2.24
              20           0.114            0.197             15.6         -0.00605             14.5             1.21             2.06
              21          -0.077         3.36e-07             13.4           0.0488             13.9             1.42             1.95
              22         -0.0998         0.000646             14.2           0.0393               15             1.39             2.18
              23         -0.0799         1.28e-06             14.3           0.0499               15              1.5             2.18
              24         -0.0675          3.6e-06             14.4           0.0282             15.6             1.86             2.29
              25         -0.0674            5e-07             14.3           0.0379             14.8             1.47             2.13
              26         -0.0588         5.22e-06             13.7           0.0343             12.7             1.35             1.68
              27          0.0842         4.55e-08             12.7            0.035             12.5             1.24             1.64
              28          0.0423         9.23e-06             12.7           0.0046             14.8             1.62             2.14
              29          0.0111         5.15e-05               13           0.0278             12.8             1.31             1.71
              30         -0.0223         7.05e-06               13           0.0473             13.3             1.41              1.8
              31          0.0434         4.09e-06             12.8            0.034             12.6             1.32             1.65
              32           0.029         8.56e-06             12.8           0.0296             12.6             1.25             1.65
              33         0.00337         2.81e-08             12.7           0.0467             12.5              1.3             1.65
              34        -0.00548         3.85e-08             12.5           0.0586             12.5             1.21             1.65
