             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           -1.59           0.0242             6.37           0.0251             6.07            0.802             1.02
               1          -0.746             0.02              6.3           0.0195             6.28            0.843             1.08
               2           -22.6           0.0418             6.44           0.0234             6.63              1.3             1.21
               3          -0.436            0.018              6.4           0.0515             6.52            0.828             1.16
               4           -0.51           0.0152             6.36           0.0113             6.22            0.798             1.07
