             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0            31.3            0.363             4.25             1.38             3.42            0.137             1.51
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0             166         1.29e-06             4.25             14.4                2                0             0.47
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0            20.3         1.05e-07             3.86           -0.659                2                0             0.47
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0             103         6.67e-06              4.5            0.813             2.54            0.239            0.886
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0              78            0.643                4              4.5             2.48            0.674            0.878
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0             153           0.0684             3.83            -8.38             2.34            0.305            0.745
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0        2.55e+04          0.00202             4.02            -14.3              3.7            0.502             1.68
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0        6.75e+04         8.35e-06             4.06              251             3.66            0.256             1.67
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0        2.56e+05          0.00164             3.72             -457             3.55             0.39             1.58
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0         1.7e+05         3.28e-05             3.83             -402             3.39            0.534             1.45
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0        1.23e+05         3.97e-05             3.73              296             3.51             0.55             1.53
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0        2.84e+05         5.62e-05             3.66             -207             3.43            0.419              1.7
               1        2.66e+03         6.75e-06              3.7             4.45             3.43            0.423              1.7
               2            47.5         2.95e-05             3.68             3.63             3.43            0.413             1.69
               3            18.7         2.26e-05             3.69             3.65             3.43             0.43              1.7
               4            8.78         0.000142              3.6             3.66             3.43            0.408              1.7
               5            4.37         0.000134             3.65             3.69             3.41            0.416             1.68
               6               3          5.7e-05             3.62             3.62              3.3            0.451              1.6
               7            1.82         4.38e-05             3.66             3.67             3.24            0.437             1.55
               8            1.46         6.52e-05             3.63             3.65             3.43            0.434              1.7
               9            1.14         3.04e-05             3.65             3.64             3.42            0.413             1.69
              10            1.45         4.45e-05             3.65             3.67             3.44            0.403             1.71
              11           0.885         4.65e-05             3.67             3.71              3.4            0.431             1.67
              12            1.71         8.61e-05             3.61             3.63             3.42            0.421             1.69
              13            1.09         0.000112             3.59              3.6             3.42            0.446             1.69
              14            1.07          8.3e-05             3.62             3.63             3.43            0.408              1.7
