             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           -20.8          0.00455             72.1            0.383               34             2.27              3.8
               1           -5.63         0.000719             67.9            0.324             32.2             2.16             3.55
               2           -2.56           0.0229             68.6            0.321             34.8              2.2             3.91
               3           -1.69         0.000234             70.4            0.435               36              2.4             4.09
               4          -0.773         1.16e-12               74            0.313             36.3             2.25             4.14
