             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0         -0.0475         0.000913             0.16         0.000512             6.24            0.787             1.07
               1         -0.0279         0.000518            0.158          0.00111             6.26            0.854             1.08
               2         -0.0419         0.000637            0.159         0.000984             6.26            0.779             1.08
               3         -0.0314         0.000447            0.159         0.000946             6.38            0.782             1.12
               4         -0.0204         0.000562            0.159        -0.000328             6.24            0.804             1.07
               5         -0.0255         0.000593            0.159        -0.000503             6.28            0.833             1.09
               6         -0.0213         0.000695            0.157         0.000408             6.17            0.798             1.05
               7         -0.0297         0.000811             0.16          0.00138             6.13            0.763             1.04
               8         -0.0209         0.000679            0.156         0.000445             6.13            0.759             1.04
               9         -0.0206         0.000779            0.156        -0.000354              6.3            0.766             1.09
              10         -0.0227         0.000694            0.157         0.000281             6.16            0.807             1.05
              11         -0.0236          0.00111            0.156          0.00134             6.15            0.768             1.04
              12         -0.0202          0.00109            0.156         0.000619             6.35            0.897             1.11
              13          -0.025         0.000888            0.158        -0.000306             6.17            0.828             1.05
              14         -0.0175         0.000994            0.157         0.000672             6.22            0.725             1.07
              15         -0.0163         0.000472            0.159         0.000288             6.41            0.851             1.13
              16         -0.0148           0.0008            0.156         0.000225             6.14            0.802             1.04
              17         -0.0188          0.00106            0.156          0.00031             6.17            0.712             1.05
              18         -0.0192          0.00115            0.156        -0.000101             6.07            0.777             1.02
              19         -0.0142         0.000691            0.156          0.00157             6.11             0.76             1.03
              20         -0.0125         0.000567            0.156         0.000423             6.11            0.822             1.03
              21          -0.013         0.000796            0.154          0.00112             6.09            0.862             1.02
              22          -0.017         0.000726            0.159           0.0026             6.34            0.847             1.11
              23         -0.0235         0.000477            0.159          0.00107             6.47            0.798             1.15
              24        -0.00814         0.000678            0.156        -5.17e-05             6.03            0.769             1.01
              25         -0.0141           0.0016            0.157          0.00252             6.13            0.829             1.03
              26         -0.0128          0.00139            0.157          0.00221             8.46             1.58             1.82
              27         -0.0283         0.000965            0.158           0.0018             6.33            0.686              1.1
              28          -0.012          0.00112            0.158          0.00225             6.23            0.771             1.07
              29        -0.00558         0.000986            0.156         0.000668             6.48            0.763             1.16
              30        -0.00777          0.00135            0.155        -0.000277             6.07             0.81             1.02
              31         -0.0145          0.00142            0.161          0.00373              6.4            0.812             1.12
              32        -0.00355         0.000593            0.156        -0.000894             6.21            0.768             1.06
              33         -0.0071          0.00109            0.156         0.000853              6.1             0.83             1.03
              34        -0.00997          0.00127            0.155        -0.000413              6.1            0.789             1.03
              35        -0.00311          0.00068            0.157         8.28e-05             6.11            0.803             1.03
              36        -0.00905          0.00109            0.157          0.00232             6.07            0.756             1.02
              37           -0.01          0.00101            0.155         7.58e-05              6.2            0.893             1.06
              38        -0.00386          0.00109            0.154        -3.24e-05             6.03            0.771                1
              39         -0.0106          0.00111            0.158          0.00424             6.44            0.701             1.14
              40         0.00732         2.95e-06            0.163        -0.000208             6.46            0.684             1.15
              41         0.00509         2.79e-06            0.163         0.000483             6.46            0.691             1.15
              42         0.00636         2.75e-06            0.163        -0.000601             6.45            0.703             1.14
              43         0.00507         2.92e-06            0.162          0.00111             6.47            0.681             1.15
              44         0.00385         2.88e-06            0.162          0.00177             6.43            0.639             1.14
              45         0.00407         2.94e-06            0.163          0.00183             6.45            0.693             1.14
              46         0.00542         2.83e-06            0.162         0.000457              6.5             0.69             1.16
              47         0.00419         2.82e-06            0.163           0.0022             6.45            0.708             1.14
              48         0.00482          2.8e-06            0.162          0.00147             6.47            0.665             1.15
              49         0.00413         2.85e-06            0.163          0.00221             6.43             0.69             1.14
              50         0.00388         2.88e-06            0.162          0.00107             6.45            0.682             1.14
              51         0.00565         2.93e-06            0.162         0.000833             6.47            0.728             1.15
              52         0.00486         2.76e-06            0.162            0.001             6.46            0.688             1.14
              53         0.00511         2.85e-06            0.163          0.00107             6.46            0.641             1.15
              54         0.00458         2.85e-06            0.163          0.00213             6.48            0.721             1.15
              55         0.00518         2.79e-06            0.162         0.000254             6.44            0.682             1.14
              56         0.00405         2.81e-06            0.162          0.00158             6.42            0.668             1.13
              57         0.00194         3.34e-06            0.162          0.00151             6.29            0.782             1.09
              58         0.00701          0.00137            0.167           0.0171             6.14            0.723             1.04
              59          0.0105          0.00169            0.161           0.0108             6.15            0.797             1.05
              60         0.00241          0.00105            0.154        -7.21e-05             6.11            0.725             1.03
              61          0.0233          0.00283            0.168           0.0136              6.1            0.789             1.03
              62         0.00327          0.00141            0.153         0.000645             6.06            0.787             1.01
              63        -0.00275         0.000718            0.156         -0.00105             6.08            0.756             1.02
              64        -0.00184         0.000624            0.157        -0.000951             6.14            0.764             1.04
              65        -0.00118         0.000959            0.156         0.000377             6.11            0.758             1.03
              66        -0.00329          0.00067            0.156        -0.000149              6.2            0.762             1.06
              67         0.00137          0.00115            0.154         0.000328             6.12            0.761             1.03
              68          0.0014          0.00062            0.154         -0.00209             6.09             0.76             1.02
              69        0.000959         0.000801            0.154        -0.000497             6.14            0.752             1.04
              70         0.00293         0.000681            0.154         -0.00148             6.18            0.757             1.05
              71         0.00232          0.00103            0.154         0.000671             6.05            0.786             1.01
              72         0.00227          0.00132            0.154        -0.000204             6.08            0.778             1.02
              73         0.00419          0.00109            0.153         -0.00116             6.08            0.803             1.02
              74         0.00184          0.00114            0.154        -8.21e-05             6.11            0.767             1.03
              75         0.00343          0.00151            0.154        -0.000159              6.1            0.811             1.03
              76         0.00325           0.0016            0.154        -6.09e-06             6.14            0.802             1.04
              77         0.00524          0.00171            0.154         -0.00057             6.09            0.805             1.02
              78           0.006          0.00153            0.154        -0.000622              6.1            0.872             1.03
              79         0.00563          0.00165            0.154        -0.000571             6.08            0.825             1.02
              80         0.00562          0.00198            0.153         0.000687             6.09            0.774             1.02
              81           0.006          0.00202            0.153         0.000113             6.07            0.792             1.02
              82         0.00569          0.00218            0.153         0.000147             6.08            0.771             1.02
              83          0.0055          0.00199            0.153         0.000245             6.07            0.806             1.02
              84         0.00688          0.00216            0.153        -0.000948             6.12            0.759             1.03
              85         0.00578          0.00221            0.153         0.000126             6.08            0.826             1.02
              86         0.00566          0.00259            0.153         7.23e-05             6.07            0.783             1.02
              87          0.0066          0.00251            0.153        -0.000831             6.07            0.778             1.01
              88          0.0063          0.00244            0.153        -0.000418             6.09            0.803             1.03
              89         0.00585          0.00245            0.153         0.000336             6.08             0.81             1.02
              90         0.00614          0.00265            0.153         0.000284             6.11             0.78             1.03
              91         0.00536          0.00268            0.153         0.000757             6.09            0.792             1.02
              92         0.00815          0.00274            0.153         -0.00215              6.1            0.779             1.02
              93          0.0057          0.00227            0.153         0.000368              6.1            0.812             1.02
              94        -0.00386          0.00257            0.153        -0.000806             6.09            0.756             1.02
              95           0.005          0.00272            0.153          0.00111             6.11            0.785             1.03
              96         0.00703          0.00276            0.153        -0.000972             6.07            0.736             1.02
              97         0.00616          0.00275            0.153         0.000178             6.06            0.758             1.01
              98         0.00774          0.00262            0.152        -0.000519             6.05            0.769             1.01
              99         0.00577           0.0028            0.153         0.000114              6.1            0.752             1.03
