             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           -22.6          0.00348             12.6           0.0223             12.7              1.6             1.68
               1           -6.59          0.00219             12.4            0.039               13             1.64             1.75
               2           -4.83          0.00221             12.3          -0.0144             12.6             1.51             1.66
               3           -5.51          0.00193             12.3           0.0042             12.6             1.45             1.67
               4           -6.98          0.00163             12.5             0.01             12.6             1.36             1.67
               5           -8.85          0.00235             12.9           0.0544               14             2.08             1.97
               6           -3.02          0.00115             12.7           0.0155             12.9              1.5             1.73
               7           -3.17         0.000636             12.6           0.0109             12.6             1.39             1.66
               8             -11         0.000657             12.6           0.0435             16.1             3.26             2.42
               9           -4.76         0.000353             12.6           0.0316             12.9             1.45             1.71
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           -14.6          0.00305             12.6           0.0192             12.9             1.59             1.73
               1           -5.89          0.00101             12.5           0.0318               13             1.59             1.75
               2           -5.64         0.000996             12.5          -0.0206             12.8             1.61             1.71
               3           -4.31         0.000776             13.6           0.0386               13             1.46             1.75
               4           -5.15          0.00381             12.8           0.0345             12.3             1.39             1.59
               5           -4.89          0.00133             13.2         -0.00101             14.1             1.58             1.99
               6           -4.11         0.000118             13.8          -0.0213               14             1.42             1.96
               7           -2.97         0.000738             12.8          0.00584             12.7             1.46             1.69
               8            -3.9           0.0016             12.6           0.0721             13.7             1.48             1.91
               9           -5.35          0.00899             13.3           0.0195             13.9             2.51             1.94
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           -8.67          0.00399             12.7           0.0207             13.1              1.4             1.77
               1           -8.51          0.00114             12.9           0.0333             12.9             1.53             1.73
               2           -4.63         0.000921             12.6           0.0157             12.8             1.45             1.71
               3           -7.79          0.00106             12.7          0.00129             13.2             1.56             1.79
               4           -14.4         0.000305               14         -0.00828             13.7             1.53              1.9
               5           -19.4         8.39e-05             14.1         -0.00639             13.7             1.59             1.89
               6           -15.2         0.000504             13.9         -0.00447             14.4             1.66             2.04
               7           -6.64         0.000345             13.7           0.0222             15.8             3.11             2.37
               8           -5.04         7.29e-06             14.2         -0.00816               14             2.18             1.95
               9           -5.18         2.55e-06             14.3         -0.00515             13.6             1.44             1.87
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           -22.6          0.00348             12.6           0.0223             12.7              1.6             1.68
               1           -6.59          0.00219             12.4            0.039               13             1.64             1.75
               2           -4.83          0.00221             12.3          -0.0144             12.6             1.51             1.66
               3           -5.51          0.00193             12.3           0.0042             12.6             1.45             1.67
               4           -6.98          0.00163             12.5             0.01             12.6             1.36             1.67
               5           -8.85          0.00235             12.9           0.0544               14             2.08             1.96
               6           -3.02          0.00115             12.7           0.0155             12.9              1.5             1.72
               7           -3.17         0.000636             12.6           0.0109             12.6             1.39             1.65
               8             -11         0.000657             12.6           0.0435             16.1             3.26             2.42
               9           -4.76         0.000353             12.6           0.0316             12.9             1.45             1.71
              10           -5.22           0.0441             13.6          -0.0802             12.9             1.51             1.73
              11            -5.1         0.000228             12.7           0.0556               13              1.5             1.74
              12           -5.09         6.41e-05             13.5           0.0351             13.6              1.5             1.88
              13           -3.02         0.000191             13.2          -0.0191               13             1.69             1.75
              14           -4.15          0.00078             12.9           0.0357             13.3             1.62              1.8
