             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0          0.0119           0.0294             6.74           0.0431             6.75             1.24             1.24
               1         0.00921           0.0137             6.83           0.0869             6.46            0.886             1.14
               2          0.0361           0.0139             6.68           0.0526             6.83             1.29             1.27
               3          0.0101           0.0123             6.67           0.0689             6.39             1.14             1.12
               4          -0.047           0.0165             6.74           0.0574             7.01             1.08             1.33
               5         -0.0101           0.0276             6.83           0.0603             6.31            0.925              1.1
               6         0.00712            0.025             6.62           0.0961             6.46            0.986             1.14
               7         -0.0152           0.0185             6.62           0.0501             6.71             1.21             1.22
               8           -0.25           0.0202             6.57           0.0377             6.46            0.994             1.14
               9          0.0334           0.0205             6.48           0.0415             6.23            0.909             1.07
              10         0.00548           0.0297             6.52           0.0675             9.23             1.63             2.07
              11          0.0199           0.0239             6.75           0.0145             7.13             1.72             1.37
              12        -0.00194           0.0199             6.67           0.0492             7.15             1.01             1.38
              13          0.0242            0.009              6.9           0.0379             6.53            0.943             1.17
              14          0.0986           0.0245             6.62           0.0441             6.31             1.15              1.1
              15           0.054           0.0201             6.58           0.0187             6.36            0.826             1.11
              16          0.0581           0.0114             6.45           0.0648             6.73            0.925             1.24
              17          0.0235          0.00967             6.57            0.046              6.3            0.859             1.09
              18          0.0866           0.0166              6.4           0.0128             6.18            0.819             1.06
              19          0.0271           0.0193             6.56           0.0622             6.29            0.775             1.09
              20          0.0687           0.0185             6.48           0.0335              6.2            0.767             1.06
              21          0.0878           0.0133             6.38           0.0311             6.19            0.904             1.06
              22           0.031            0.011             6.63           0.0367             6.25            0.822             1.08
              23           0.105           0.0167             6.29           0.0403              6.1            0.875             1.03
              24          0.0872           0.0309             6.28           0.0124             5.98            0.827             0.99
              25          0.0742           0.0339             7.06           0.0314             6.43            0.815             1.14
              26          0.0234           0.0107             6.78           0.0015             7.12             1.09             1.37
              27         -0.0673           0.0139             6.92           0.0378             6.75             0.92             1.24
              28          -0.019           0.0146             6.79           0.0221             6.48            0.778             1.15
              29          0.0283           0.0214             6.65          0.00557             6.15            0.811             1.05
              30            0.03           0.0168             6.58            0.014             6.64            0.813             1.21
              31         -0.0229           0.0156              6.7           0.0926              6.6            0.878              1.2
              32          0.0517           0.0047              6.5         0.000207             6.43            0.783             1.14
              33         -0.0181          0.00919             6.74           0.0559             6.61            0.906              1.2
              34         0.00695           0.0157             6.57           0.0347             6.31            0.739              1.1
