             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           -2.25          0.00406             11.7           0.0136             11.7             1.08             1.49
               1           -2.31         0.000816             11.5         -0.00804             11.7             1.06             1.48
               2           -1.04         0.000728             11.5          0.00589             11.7            0.999             1.47
               3           -1.36         0.000523             11.6           0.0145             11.8                1              1.5
               4           -1.01         0.000741             11.6           -0.027             11.6             1.11             1.46
               5          -0.898         0.000553             11.6           0.0163             11.7             1.05             1.47
               6          -0.817          0.00166             11.5          0.00707               12             1.24             1.54
               7          -0.774          0.00112             11.5           -0.012             11.6            0.988             1.45
               8          -0.695         0.000731             11.4          0.00673             11.5            0.918             1.44
               9            -1.6          0.00147             11.4          0.00181             11.4             1.03             1.42
              10           -0.72          0.00104             11.4          0.00495             11.5            0.905             1.44
              11          -0.528         0.000631             11.5          -0.0034             11.6             1.04             1.47
              12          -0.485         0.000526             11.5          -0.0115             11.5            0.978             1.43
              13           -2.07         0.000711             11.4          -0.0264             11.6            0.992             1.45
              14          -0.692         0.000989             11.4          0.00552             11.5            0.974             1.43
              15          -0.392          0.00103             11.2          0.00509             11.5             1.01             1.43
              16          -0.472           0.0012             11.3         -0.00223             11.2            0.897             1.37
              17          -0.168         0.000974             11.2         -0.00778             11.2            0.953             1.36
              18          -0.267         0.000675             11.2        -0.000845             11.2            0.867             1.37
              19          -0.215           0.0015             11.1          -0.0159             11.2             0.94             1.36
