             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0            -2.7           0.0311             6.36           0.0058             6.24            0.818             1.07
               1           -3.53            0.027             6.32           0.0216             6.19            0.721             1.06
               2           -2.02           0.0262             6.32           0.0429             6.22            0.782             1.06
               3           -3.51           0.0291              6.4           0.0199             6.32            0.811              1.1
               4           -2.12           0.0265             6.32           0.0125             6.38            0.855             1.12
               5           -1.19           0.0242              6.3           0.0351             6.35            0.823              1.1
               6           -1.52           0.0265             6.34           0.0409             6.13            0.773             1.04
               7            -1.1           0.0221             6.36          0.00541             6.22            0.784             1.07
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0            -2.7           0.0311             6.36           0.0058             6.24            0.818             1.07
               1           -3.53            0.027             6.32           0.0216             6.19            0.721             1.06
               2           -2.02           0.0262             6.32           0.0429             6.22            0.782             1.06
               3           -3.51           0.0291              6.4           0.0199             6.32            0.811              1.1
               4           -2.12           0.0265             6.32           0.0125             6.38            0.855             1.12
               5           -1.19           0.0242              6.3           0.0351             6.35            0.823              1.1
               6           -1.52           0.0265             6.34           0.0409             6.13            0.773             1.04
               7            -1.1           0.0221             6.36          0.00541             6.22            0.784             1.07
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           -1.53           0.0286              6.4          0.00984             6.24            0.812             1.07
               1          -0.849           0.0261             6.32           0.0172             6.27            0.806             1.08
               2          -0.657           0.0223             6.35           0.0172             6.28            0.954             1.08
               3          -0.502           0.0349              6.5            0.179             6.08            0.745             1.02
               4          -0.401           0.0194             6.27           0.0148              6.3            0.713             1.09
               5          -0.536           0.0309             6.43             0.12             6.19             0.75             1.05
               6          -0.418           0.0268              6.3           0.0157             6.46            0.937             1.14
               7          -0.377           0.0311             6.38             0.05              6.4            0.725             1.12
               8          -0.324           0.0178              6.3            0.017             6.08            0.816             1.02
               9          -0.505           0.0341             6.28           0.0219             6.13             0.77             1.04
              10          -0.175           0.0252             6.37           0.0829             6.18             0.71             1.05
              11          0.0634           0.0175             6.22          -0.0179             6.08             0.78             1.02
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           -1.53           0.0286              6.4          0.00984             6.24            0.812             1.07
               1          -0.849           0.0261             6.32           0.0172             6.27            0.806             1.08
               2          -0.657           0.0223             6.35           0.0172             6.28            0.954             1.08
               3          -0.502           0.0349              6.5            0.179             6.08            0.745             1.02
               4          -0.401           0.0194             6.27           0.0148              6.3            0.713             1.09
               5          -0.536           0.0309             6.43             0.12             6.19             0.75             1.05
               6          -0.418           0.0268              6.3           0.0157             6.46            0.937             1.14
               7          -0.377           0.0311             6.38             0.05              6.4            0.725             1.12
               8          -0.324           0.0178              6.3            0.017             6.08            0.816             1.02
               9          -0.505           0.0341             6.28           0.0219             6.13             0.77             1.04
              10          -0.175           0.0252             6.37           0.0829             6.18             0.71             1.05
              11          0.0634           0.0175             6.22          -0.0179             6.08             0.78             1.02
