             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0            0.21          1.2e-44             6.26            0.023                0                0                0
               1           0.212            0.207             7.27           0.0634                0                0                0
               2           0.118            0.499             8.96           0.0002                0                0                0
               3           0.105            0.488              8.9          -0.0446                0                0                0
               4           0.276            0.163             7.29           0.0689                0                0                0
               5           0.265         5.52e-05             6.37            0.167                0                0                0
               6            0.25           0.0032             6.45           0.0309                0                0                0
               7           0.223          0.00162             6.61           0.0399                0                0                0
