             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0          0.0674          0.00555             12.7            0.117             12.4             1.33             1.81
               1          0.0975         6.79e-05             12.1           0.0827             12.4             1.47             1.81
               2          -0.142         0.000199             12.1            0.152             11.9             1.24              1.7
               3          0.0415          0.00021             12.2           0.0861               12             1.21             1.74
               4          0.0836         0.000602               12           0.0625             12.4             1.44             1.82
               5           0.221          4.1e-05             12.5            0.122             12.2             1.15             1.78
               6           0.139          6.6e-05             12.4            0.043             12.2             1.31             1.78
               7          0.0769         4.96e-05             12.7           0.0682             12.2              1.1             1.78
               8          -0.865         0.000158             12.1           0.0518             13.6             1.52             2.08
               9            0.27           0.0929             13.8            0.101             11.8             1.19             1.69
              10           0.128         2.77e-05             12.1           0.0473             12.3             1.09              1.8
              11           0.117          0.00884             12.9           0.0989             12.3             1.29             1.79
              12          0.0498         0.000926             12.3           0.0436             14.1             1.46             2.21
              13          0.0068         4.56e-06             12.9           0.0457             11.9             1.25              1.7
              14          0.0769         4.91e-05             12.5            0.059             12.1             1.24             1.74
              15          0.0444         3.67e-05             12.8            0.108               12             1.24             1.73
              16           0.225         0.000116             12.2           0.0494             12.8             1.37             1.91
              17         -0.0296         3.93e-07             14.4          -0.0115             14.5             1.28             2.31
              18         -0.0312           0.0397             14.5           0.0431             20.2            0.374             3.62
              19           0.213           0.0174             13.2           0.0548             12.1             1.07             1.76
