             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0          -0.563           0.0296             6.32          0.00361             6.34            0.853              1.1
               1          -0.541           0.0298             6.29          0.00985             6.21            0.874             1.06
               2          -0.449           0.0269             6.29           0.0042             6.18            0.801             1.05
               3          -0.226           0.0311             6.25           0.0373             6.27            0.865             1.08
               4          -0.321           0.0257             6.31          -0.0116             6.35            0.877             1.11
               5          -0.435           0.0253              6.3           0.0189             6.19            0.781             1.06
               6          -0.299           0.0221             6.32         -0.00398             6.36            0.824             1.11
               7          -0.264           0.0259             6.27         -0.00905             6.41            0.787             1.13
               8          -0.348           0.0207             6.29          0.00562             6.25            0.727             1.08
               9          -0.416           0.0241             6.28          0.00496             6.28            0.757             1.09
              10         -0.0851           0.0235             6.23           0.0207             6.13            0.786             1.04
              11         -0.0332           0.0289              6.2          0.00104             6.11            0.802             1.03
              12         -0.0519           0.0285             6.24          0.00892             6.13            0.777             1.04
              13         -0.0047           0.0255             6.18         -0.00475             6.16            0.805             1.05
              14         -0.0116           0.0264             6.18          0.00546              6.2            0.762             1.06
