             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.132         4.93e-43             8.75          0.00479                0                0                0
               1           0.109         3.12e-09             8.74        -0.000679                0                0                0
               2          0.0996         2.59e-42             8.74         -0.00272                0                0                0
               3           0.064          4.8e-41             8.74           0.0488                0                0                0
               4          0.0972         7.12e-42             8.74         0.000326                0                0                0
               5          0.0844         1.29e-42             8.74            0.027                0                0                0
               6          0.0995         2.18e-43             8.74           -0.023                0                0                0
               7           0.209         7.39e-41             8.74          -0.0483                0                0                0
               8           0.103         5.54e-42             8.74         -0.00582                0                0                0
               9           0.202         2.45e-42             8.74          -0.0362                0                0                0
              10           0.136         1.24e-40             8.74          -0.0226                0                0                0
              11           0.149          1.3e-41             8.74          -0.0525                0                0                0
              12          0.0791         3.25e-43             8.74           0.0236                0                0                0
              13          0.0661         1.67e-38             8.74           0.0265                0                0                0
              14           0.181         8.44e-44             8.74          -0.0616                0                0                0
              15           0.152         3.45e-43             8.74          -0.0293                0                0                0
              16          0.0486         2.55e-40             8.74            0.034                0                0                0
              17           0.137         4.39e-42             8.74          -0.0179                0                0                0
              18           0.219         2.32e-42             8.75          -0.0471                0                0                0
              19          0.0909          3.6e-42             8.74          0.00673                0                0                0
