             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.338         2.06e-40             95.6          -0.0335                0                0                0
               1           0.171          1.3e-39             93.9         0.000764                0                0                0
               2           0.178         3.19e-36             93.1          -0.0156                0                0                0
               3           0.163          1.8e-38             92.5          0.00904                0                0                0
               4           0.136         1.44e-36             92.1          -0.0121                0                0                0
               5           0.137         7.53e-38             91.8          -0.0103                0                0                0
               6          0.0961         2.39e-37             91.5          -0.0051                0                0                0
               7           0.116         9.23e-39             91.2          -0.0146                0                0                0
               8          0.0426         2.46e-38             90.9           0.0291                0                0                0
               9          0.0636         1.86e-39             90.4           0.0266                0                0                0
              10           0.055         3.22e-39             89.6           0.0178                0                0                0
              11          0.0559         3.85e-36             89.4          0.00806                0                0                0
