             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.135            0.034             6.96          0.00435             6.55            0.857             1.18
               1          0.0882          0.00435             6.65          -0.0224             6.76            0.928             1.25
               2         -0.0775          0.00519             6.73           0.0366             6.88            0.961             1.29
               3         -0.0591           0.0061             6.66           0.0205             6.54            0.868             1.17
               4         -0.0297          0.00358             6.59           0.0432             6.82             1.06             1.27
               5         -0.0818          0.00319             6.75             0.02             6.62            0.887              1.2
               6          -0.143          0.00288             6.71           0.0476             6.36            0.929             1.11
               7          -0.067          0.00243             6.54           0.0231             6.37            0.857             1.12
               8          -0.121           0.0032             6.61           0.0613             6.59             1.02             1.19
               9         -0.0653          0.00159             6.52           0.0362             6.29             0.78             1.09
              10          -0.111          0.00295             6.45          0.00981             6.33            0.834              1.1
              11          -0.155          0.00636             6.48           0.0609             6.27            0.765             1.09
              12          -0.107         0.000682             6.41           0.0486             6.42            0.861             1.14
              13          -0.132          0.00071             6.43           0.0312             6.44             0.81             1.14
              14          -0.128         0.000584             6.44            0.011             6.23            0.762             1.07
              15          -0.142         0.000156             6.44          0.00605             6.38             0.78             1.12
              16          -0.144         0.000175             6.47           0.0163             6.34            0.751             1.11
              17          -0.209         0.000246             6.44           0.0433             6.34            0.843             1.11
              18          -0.204          0.00075             6.44           0.0323             6.33             0.77              1.1
              19          -0.176         0.000188             6.46           0.0185             6.36            0.773             1.12
              20          -0.214          0.00104             6.58           0.0228             6.41            0.814             1.13
              21           -0.26          0.00019             6.57           0.0437             6.53            0.926             1.17
              22          -0.389         0.000252             7.68            0.031                7             1.04             1.32
              23          -0.419         0.000116             7.86           0.0293             8.04            0.976             1.67
              24          -0.408         0.000136             8.07           0.0109             8.01            0.891             1.66
              25          -0.425         0.000125             8.25           0.0173             8.18            0.865             1.72
              26          -0.431         0.000236             8.36           0.0196              8.3            0.911             1.76
              27          -0.431          0.00025             8.33            0.026              8.2            0.852             1.73
              28          -0.431         0.000248             8.38           0.0241              8.1            0.886              1.7
              29          -0.431         0.000326             8.42          0.00999             8.17            0.893             1.72
              30          -0.434         0.000311             8.41           0.0154             8.17            0.953             1.72
              31          -0.423          0.00032             8.37           0.0215             8.19            0.866             1.73
              32          -0.447         0.000279             8.44           0.0284             8.27            0.883             1.75
              33          -0.442         0.000269             8.49           0.0202             8.17            0.747             1.72
              34           -0.43         0.000271              8.4           0.0276             8.18            0.945             1.72
