             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.161           0.0516               11         -0.00129             10.7             1.26             1.02
               1           0.106           0.0447               11           0.0282             10.7             1.25             1.04
               2          0.0245           0.0355             10.8            0.014               11             1.62             1.09
               3           0.102           0.0314             10.9          0.00405             10.5             1.35            0.998
               4        -0.00653           0.0493             10.9           0.0456             10.9             1.34             1.06
               5         -0.0541           0.0266             10.9           0.0408             10.8             1.16             1.06
               6        -0.00984           0.0848             10.8           0.0298             10.8             1.33             1.04
               7          0.0326            0.115             10.8           0.0148             10.6             1.14             1.02
               8         -0.0134           0.0383               11           0.0387             10.8             1.18             1.04
               9           0.179           0.0625             10.9           0.0366             10.9             1.42             1.08
