             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               8             118             0.25            -5.91             12.3            -3.31            0.665             1.38
               9            49.9             0.25             -5.8             9.71            -3.26            0.671             1.34
              10            43.8             0.25            -5.81              7.5            -3.26            0.637             1.34
              11            67.5             0.25            -5.97             8.98            -3.23            0.686             1.32
              12             139             0.25            -6.03             8.65            -3.26             0.65             1.34
              13             164             0.25            -5.97             13.2            -3.22            0.667             1.31
              14            80.2             0.25            -5.93             12.1            -3.26            0.659             1.34
              15            95.5             0.25            -6.03             -5.5            -3.23            0.682             1.32
              16             128             0.25            -6.04             15.2            -3.27            0.678             1.34
              17              42             0.25            -5.78             5.26            -3.23            0.691             1.31
              18            67.6             0.25               -6             4.02            -3.25             0.67             1.33
              19             251             0.25            -5.96             11.1            -3.22            0.659             1.31
              20            31.4             0.25            -6.07             3.72            -3.25             0.65             1.33
              21             105             0.25            -5.92             13.6            -3.24            0.668             1.33
              22            30.2             0.25            -6.09             4.69            -3.27            0.694             1.35
              23              58             0.25            -5.91             10.4            -3.24            0.675             1.32
              24            76.6             0.25            -5.92              7.2            -3.24            0.709             1.32
              25            76.1             0.25            -6.07             12.6            -3.26            0.648             1.34
              26            42.9             0.25            -5.98             6.79            -3.25            0.699             1.33
              27            64.8             0.25            -5.95             9.31            -3.27            0.676             1.35
              28            85.8             0.25            -5.98            -2.36            -3.25            0.696             1.33
              29             124             0.25            -5.88             11.7            -3.29            0.666             1.36
              30            45.3             0.25            -5.87             8.29            -3.26            0.656             1.34
              31              81            0.257            -7.19             5.01            -3.27            0.685             1.35
              32             129             0.25             -6.3              5.6            -3.27            0.689             1.35
              33             122            0.257            -7.34             1.85            -3.24            0.667             1.32
              34             101             0.25            -6.05             11.6            -3.26            0.677             1.34
              35            17.6             0.25            -5.92            -2.57            -3.26            0.653             1.34
              36            87.1             0.25            -5.91             11.9            -3.27            0.628             1.35
              37            43.8             0.25            -5.71             4.19            -3.24            0.667             1.33
              38            80.7             0.25             -5.8             4.13            -3.27            0.657             1.35
              39            65.7             0.25            -5.99             11.3            -3.27            0.659             1.34
              40            65.1             0.25            -5.98             4.68            -3.25            0.665             1.34
              41            42.3             0.25            -6.07             2.65            -3.27             0.66             1.35
              42            48.2             0.25            -5.87             8.02            -3.22            0.654             1.31
              43             167             0.25            -5.97             12.1                0                0                0
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0             336          0.00906            -8.27            -0.57            -3.22            0.636             1.31
               1            45.3             0.75            -8.61            0.938                0                0                0
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0             244            0.399            -7.48             19.9            -2.05           0.0728            0.502
               1            16.4            0.501            -9.05             2.37               -2          0.00168            0.471
               2            46.5            0.536            -9.86            -4.35                0                0                0
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0            58.7           0.0084             -9.4             9.83            -2.89            0.412             1.09
               1             120         0.000408            -6.95            0.954                0                0                0
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0             125             0.77            -9.94              3.5            -3.16            0.347             1.29
               1             144            0.769            -9.93            -5.87             -3.3            0.786             1.36
               2             147            0.751            -9.71             3.37            -3.16            0.534             1.28
               3             239            0.763            -9.98            -3.31                0                0                0
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0             160            0.293            -8.75            -9.24               -2                0             0.47
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0            66.4            0.197            -7.92            -5.96            -2.72            0.182            0.982
               1            77.6           0.0103            -9.44             6.53                0                0                0
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0            63.5           0.0934            -8.55            -5.67            -3.36            0.371             1.64
               1            63.2           0.0787            -8.09             7.34            -2.83            0.274             1.24
