             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.261          0.00463             12.7           0.0579             12.2             1.28             1.76
               1          0.0153         0.000222             12.3            0.126             12.4             1.47             1.82
               2          0.0574         5.82e-05             12.5            0.045             13.3             1.67             2.02
               3         -0.0773         3.71e-05             12.5           0.0695             12.4             1.53             1.81
               4         -0.0383         7.77e-05             13.7           0.0652             13.3             1.49             2.03
               5        -0.00995          0.00222             12.6           0.0709             12.5             1.37             1.85
               6           -4.16         9.38e-05             12.5            0.071             12.4             1.49             1.81
               7          0.0599         5.78e-05             12.3           0.0637             12.5             1.73             1.84
               8         -0.0358         6.04e-05             12.1           0.0674             12.6              1.8             1.86
               9         -0.0794         0.000178             12.4           0.0684               14             2.64             2.19
              10         -0.0849         0.000149             12.3           0.0642             15.3             3.16             2.48
              11           -0.12         0.000101             14.1           0.0306             14.4             1.39             2.27
