             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0            4.55           0.0988             11.7           -0.092             11.8             1.42             1.24
               1           0.165           0.0337             11.3           0.0247             11.2             1.22             1.13
               2           0.198           0.0194             11.1           0.0159             10.9              1.2             1.07
               3            0.21           0.0177             11.2          0.00575             11.3              1.2             1.14
               4           0.196           0.0164             11.1           0.0591             10.7              1.2             1.04
               5           0.126           0.0071               11           0.0192               11             1.08             1.09
               6          -0.089           0.0119             11.1           0.0471             10.7             1.27             1.03
               7           0.222           0.0125             10.9           0.0672             10.9             1.16             1.07
               8           0.191           0.0349             10.8           0.0453             10.6              1.3             1.02
               9           0.146           0.0502             10.9          0.00598             10.7             1.04             1.03
              10            0.13           0.0097             10.9           0.0775               11             1.08             1.08
              11           0.101           0.0032             10.9         0.000667             10.7             1.55             1.03
              12          0.0639           0.0303             10.5           0.0308             10.5             1.07            0.985
              13          0.0565           0.0493             10.7           0.0716             10.8            0.981             1.05
              14          0.0713          0.00705             10.6           0.0519             10.1             1.05            0.922
              15           0.124            0.014             10.9         -0.00819             10.6             1.18             1.01
              16         -0.0112          0.00253             10.7           0.0348             10.3             1.22            0.959
              17         -0.0349           0.0131             10.6           0.0629             10.4             1.22            0.977
              18          -0.014           0.0224             10.6            0.026             10.7             1.18             1.03
              19        -0.00431           0.0113             10.6           0.0475             10.8             1.24             1.05
              20         -0.0255          0.00734             10.9           0.0474             10.5             1.09            0.987
              21          0.0405           0.0474             10.9         -0.00591             10.7             1.29             1.03
              22         -0.0405           0.0194             10.4           0.0448             10.3             1.27            0.948
              23         0.00269           0.0148             10.5           0.0071             10.4             1.13            0.977
              24         -0.0443          0.00907             10.5           0.0437               11             1.06             1.08
              25         -0.0744          0.00157             10.8           0.0445             10.2              1.1            0.927
              26         -0.0584          0.00384             10.5           0.0423             10.2             1.19            0.937
              27         -0.0425          0.00909             10.2            0.023             10.1             1.01            0.922
              28         -0.0344          0.00275             10.4         0.000867             10.1              1.1            0.913
              29         -0.0522          0.00477             10.3           0.0226             10.1             1.16            0.919
              30         -0.0592          0.00654             10.3             0.02             10.3             1.13            0.948
              31         -0.0597          0.00946             10.1           0.0129             10.2             1.05            0.944
              32         -0.0518          0.00272             10.5          0.00808             10.5              1.2            0.985
              33         -0.0455          0.00294             10.2           0.0102             10.1             1.09            0.914
              34         -0.0611           0.0028             10.1           0.0157             10.1             1.08            0.925
              35         -0.0686          0.00205             10.1           0.0104               10             1.04            0.905
              36         -0.0382           0.0045             10.1         -0.00377             9.86             1.04            0.873
              37         -0.0687          0.00333               10         0.000901               10              1.1            0.898
              38         -0.0643          0.00392             9.94           0.0333               10             1.07            0.907
              39         -0.0648          0.00218             9.96           0.0136             9.82              1.1            0.865
